brand,model,vehicle_type,initial_battery_capacity_kwh,current_battery_capacity_kwh,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Initial_Mileage,Current_Mileage,Initial_Perf,Current_Perf,Resale_Value_L,Value_for_Money_Score
TVS,TVS iQube,Bike,3.4,2.73,80,145,82,57806,3,8548,2020,2025,126689,131,111,8.21,7.29,53682,0.9
TVS,TVS iQube,Bike,3.4,3.6,105,145,82,39149,6,8353,2023,2025,153298,127,118,8.79,8.23,125697,1.1
Ather,Ather 450X,Bike,3.7,3.37,91,150,90,19540,6,7375,2023,2025,154980,137,89,8.43,7.27,109312,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.24,74,120,70,70198,3,13187,2020,2025,131895,117,85,8.75,7.99,51971,0.8
Ola,Ola S1 Pro,Bike,4.0,3.38,84,180,95,95272,1,5399,2018,2025,158951,182,154,8.54,7.17,54890,0.7
Tata,Tata Nexon EV,Car,40.0,36.55,91,312,120,32354,6,29614,2023,2025,1524549,331,294,8.21,7.16,1078783,1.2
TVS,TVS iQube,Bike,3.4,3.23,95,145,82,40707,6,6930,2023,2025,152149,148,129,8.76,8.0,111932,1.1
TVS,TVS iQube,Bike,3.4,2.04,60,145,82,105207,0,3000,2017,2025,127195,145,128,8.89,8.56,27446,0.6
Mahindra,Mahindra XUV400,Car,39.4,37.91,96,375,150,9708,7,21822,2024,2025,1879167,355,338,8.58,7.45,1591129,1.2
Hyundai,Hyundai Kona Electric,Car,39.0,31.61,81,305,155,70992,3,22045,2020,2025,2401876,314,277,8.66,8.37,1027362,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,26.5,67,305,155,97401,0,25815,2017,2025,2218709,287,260,8.58,8.5,542179,0.7
Tata,Tata Nexon EV,Car,40.0,38.1,95,312,120,23847,7,32546,2024,2025,1518167,294,294,8.26,7.48,1272527,1.2
Bajaj,Bajaj Chetak,Bike,3.0,1.8,60,120,70,105488,0,6826,2017,2025,130586,138,135,7.91,6.73,28177,0.6
Bajaj,Bajaj Chetak,Bike,3.0,1.94,64,120,70,66980,3,21019,2020,2025,135611,138,113,7.74,6.89,46279,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.24,74,120,70,52513,5,3858,2022,2025,118978,101,65,8.82,7.73,60539,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,26.48,67,305,155,94210,0,19555,2017,2025,2365816,305,297,8.8,8.76,577691,0.7
Bajaj,Bajaj Chetak,Bike,3.0,1.86,62,120,70,77565,2,3000,2019,2025,133216,102,93,7.65,7.4,38356,0.7
Ather,Ather 450X,Bike,3.7,3.4,91,150,90,35169,6,3000,2023,2025,157347,144,122,8.83,7.51,111969,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.66,88,120,70,48764,4,11187,2021,2025,123702,135,100,8.06,7.77,65776,1.1
Ola,Ola S1 Pro,Bike,4.0,2.84,71,180,95,85212,1,3000,2018,2025,155495,173,153,8.53,8.36,45118,0.8
Tata,Tata Nexon EV,Car,40.0,30.31,75,312,120,90559,2,34952,2019,2025,1436719,309,304,8.01,7.32,505584,0.7
Mahindra,Mahindra XUV400,Car,39.4,33.58,85,375,150,60282,4,29432,2021,2025,2045001,371,328,8.36,8.01,1045222,0.8
Mahindra,Mahindra XUV400,Car,39.4,26.67,67,375,150,112699,0,37776,2017,2025,2084003,375,350,8.64,7.65,507325,0.6
Bajaj,Bajaj Chetak,Bike,3.0,2.42,80,120,70,29067,6,5729,2023,2025,136181,111,73,8.16,7.46,85069,1.2
Ather,Ather 450X,Bike,3.7,3.06,82,150,90,32926,6,8270,2023,2025,146531,162,142,9.0,8.14,93845,1.0
MG,MG ZS EV,Car,50.0,36.31,72,419,140,94548,1,25588,2018,2025,2666784,399,380,8.95,8.59,791448,0.8
TVS,TVS iQube,Bike,3.4,2.1,61,145,82,108998,0,17890,2017,2025,131996,151,149,7.99,7.39,29319,0.6
Ola,Ola S1 Pro,Bike,4.0,3.47,86,180,95,49918,5,12147,2022,2025,161678,192,182,8.8,8.32,95580,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,35.86,91,305,155,40675,6,27782,2023,2025,2377574,295,295,8.56,8.09,1692953,1.1
MG,MG ZS EV,Car,50.0,39.81,79,419,140,70135,3,30023,2020,2025,2668385,439,393,8.94,7.58,1121202,0.8
Bajaj,Bajaj Chetak,Bike,3.0,1.89,63,120,70,83745,1,15699,2018,2025,138160,134,106,8.91,7.54,35571,0.8
MG,MG ZS EV,Car,50.0,47.74,95,419,140,28672,7,26502,2024,2025,2285340,412,365,8.96,7.62,1920197,1.1
Ather,Ather 450X,Bike,3.7,3.23,87,150,90,59911,4,9099,2021,2025,170565,169,129,8.81,8.65,89293,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,36.18,92,305,155,41695,6,28314,2023,2025,2213583,313,296,7.79,7.33,1590248,1.0
Ola,Ola S1 Pro,Bike,4.0,3.44,86,180,95,93557,2,16574,2019,2025,157631,188,178,7.59,6.57,62955,0.9
TVS,TVS iQube,Bike,3.4,2.95,86,145,82,79657,3,3000,2020,2025,127085,158,156,7.66,6.45,58190,0.9
Ather,Ather 450X,Bike,3.7,3.41,92,150,90,32351,6,12886,2023,2025,153642,130,96,8.1,7.41,109654,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.15,71,120,70,98912,2,5065,2019,2025,118204,109,64,7.58,7.27,39341,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,26.07,66,305,155,112200,0,32139,2017,2025,2451739,304,303,8.99,8.1,589402,0.7
Ather,Ather 450X,Bike,3.7,3.07,82,150,90,24741,7,3000,2024,2025,156183,162,119,8.6,7.47,114038,1.2
Hyundai,Hyundai Kona Electric,Car,39.0,30.93,79,305,155,85686,3,21658,2020,2025,2181992,297,274,8.42,7.45,913233,0.9
TVS,TVS iQube,Bike,3.4,2.15,63,145,82,102819,0,9341,2017,2025,146644,141,100,8.08,6.94,33349,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,32.76,84,305,155,60386,4,21413,2021,2025,2517488,321,272,8.22,7.72,1268169,0.9
TVS,TVS iQube,Bike,3.4,2.81,82,145,82,47734,6,10603,2023,2025,148588,144,140,7.57,6.84,95099,1.1
Ola,Ola S1 Pro,Bike,4.0,3.4,85,180,95,30338,7,7783,2024,2025,150035,167,138,8.38,8.23,112226,1.1
Tata,Tata Nexon EV,Car,40.0,37.0,92,312,120,35952,6,32614,2023,2025,1425665,328,291,8.94,7.57,1021232,1.0
MG,MG ZS EV,Car,50.0,45.98,91,419,140,32358,6,24218,2023,2025,2460051,406,398,7.81,6.75,1751896,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.18,72,120,70,63263,4,12521,2021,2025,119136,121,110,7.62,6.67,51916,0.8
Tata,Tata Nexon EV,Car,40.0,30.39,75,312,120,90350,2,21288,2019,2025,1507555,299,276,8.39,7.91,531912,0.8
MG,MG ZS EV,Car,50.0,37.82,75,419,140,76416,2,21758,2019,2025,2326135,402,375,8.24,8.04,817113,0.7
Mahindra,Mahindra XUV400,Car,39.4,31.29,79,375,150,78187,3,30412,2020,2025,1950433,362,325,8.43,7.38,817435,0.9
Tata,Tata Nexon EV,Car,40.0,33.77,84,312,120,62244,4,27484,2021,2025,1568727,296,247,8.14,6.7,794235,0.9
Ola,Ola S1 Pro,Bike,4.0,3.39,84,180,95,24440,6,9595,2023,2025,140394,196,156,8.67,8.51,92141,1.1
Tata,Tata Nexon EV,Car,40.0,27.07,67,312,120,96986,0,30128,2017,2025,1425425,319,283,7.85,6.77,346923,0.7
MG,MG ZS EV,Car,50.0,39.97,79,419,140,69793,3,27211,2020,2025,2335080,418,377,7.59,7.3,985097,0.8
Mahindra,Mahindra XUV400,Car,39.4,38.03,96,375,150,22506,7,25598,2024,2025,2163131,388,372,8.52,8.14,1837365,1.1
Mahindra,Mahindra XUV400,Car,39.4,37.42,94,375,150,16203,7,25156,2024,2025,1844254,370,330,8.48,7.7,1541384,1.2
Ola,Ola S1 Pro,Bike,4.0,2.4,60,180,95,107558,0,9033,2017,2025,154502,198,183,8.45,7.7,33338,0.6
Mahindra,Mahindra XUV400,Car,39.4,34.97,88,375,150,51812,5,28401,2022,2025,2084868,393,362,8.73,8.26,1261031,1.1
TVS,TVS iQube,Bike,3.4,2.97,87,145,82,85887,2,4738,2019,2025,143360,164,131,8.14,6.85,58156,0.9
Tata,Tata Nexon EV,Car,40.0,26.79,66,312,120,98903,0,20987,2017,2025,1422013,312,264,7.65,7.28,342513,0.7
Ather,Ather 450X,Bike,3.7,3.47,93,150,90,54277,4,12231,2021,2025,146777,168,122,8.71,7.55,82549,1.0
Ola,Ola S1 Pro,Bike,4.0,3.96,99,180,95,31528,7,4017,2024,2025,158152,176,128,7.8,6.31,137782,1.2
Ather,Ather 450X,Bike,3.7,3.58,96,150,90,51879,4,3000,2021,2025,152145,159,145,8.85,8.02,88281,1.1
Tata,Tata Nexon EV,Car,40.0,30.11,75,312,120,79634,2,28078,2019,2025,1624829,312,309,7.71,6.22,568008,0.8
Ola,Ola S1 Pro,Bike,4.0,3.54,88,180,95,16386,7,13930,2024,2025,140509,178,169,8.39,7.24,109428,1.1
Ather,Ather 450X,Bike,3.7,2.8,75,150,90,110566,0,13330,2017,2025,155165,137,135,8.48,7.31,42229,0.7
TVS,TVS iQube,Bike,3.4,3.07,90,145,82,66424,3,11560,2020,2025,126384,161,159,7.79,6.51,60223,0.8
Ather,Ather 450X,Bike,3.7,2.28,61,150,90,88234,1,11459,2018,2025,165302,140,118,8.45,7.74,41628,0.7
Tata,Tata Nexon EV,Car,40.0,33.37,83,312,120,70085,4,33130,2021,2025,1627459,301,288,8.23,7.75,814210,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,31.17,79,305,155,68280,3,21588,2020,2025,2116243,286,268,8.74,8.2,892588,0.9
MG,MG ZS EV,Car,50.0,45.76,91,419,140,34839,6,33855,2023,2025,2725134,428,378,7.81,6.42,1931386,1.0
TVS,TVS iQube,Bike,3.4,3.15,92,145,82,62463,3,3000,2020,2025,140471,131,121,8.87,8.11,68680,1.0
Ather,Ather 450X,Bike,3.7,3.33,90,150,90,45681,4,8471,2021,2025,162402,147,108,7.94,7.1,87652,0.9
TVS,TVS iQube,Bike,3.4,2.59,76,145,82,36105,5,13954,2022,2025,139034,153,128,8.24,7.44,72175,0.9
TVS,TVS iQube,Bike,3.4,2.63,77,145,82,107485,1,7315,2018,2025,142252,157,124,8.02,7.18,44969,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,31.28,80,305,155,88751,3,27167,2020,2025,2098272,318,315,8.14,7.92,888131,0.9
TVS,TVS iQube,Bike,3.4,2.49,73,145,82,44465,5,5393,2022,2025,149871,138,100,8.79,8.04,74797,1.0
Ather,Ather 450X,Bike,3.7,2.63,71,150,90,94030,2,11964,2019,2025,147595,152,116,7.53,6.83,48721,0.7
Mahindra,Mahindra XUV400,Car,39.4,26.84,68,375,150,93788,0,16598,2017,2025,1948245,388,351,7.82,6.36,477299,0.6
Tata,Tata Nexon EV,Car,40.0,34.0,85,312,120,49713,4,23036,2021,2025,1384724,329,301,8.23,7.77,705850,1.0
Ola,Ola S1 Pro,Bike,4.0,3.73,93,180,95,26907,6,4177,2023,2025,137924,196,169,8.95,8.69,99598,1.0
Ola,Ola S1 Pro,Bike,4.0,3.99,99,180,95,42240,5,3000,2022,2025,143984,185,148,8.86,7.68,97875,1.1
Mahindra,Mahindra XUV400,Car,39.4,28.27,71,375,150,110836,1,33096,2018,2025,1860629,383,349,7.9,7.02,545592,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,36.06,92,305,155,48459,6,34392,2023,2025,2515541,294,288,7.77,7.7,1801183,1.1
TVS,TVS iQube,Bike,3.4,3.41,100,145,82,47504,5,8553,2022,2025,144287,137,118,8.22,7.3,98616,1.1
MG,MG ZS EV,Car,50.0,44.23,88,419,140,41506,5,26741,2022,2025,2617959,423,410,7.62,7.27,1578184,1.0
MG,MG ZS EV,Car,50.0,47.84,95,419,140,16998,7,17988,2024,2025,2465028,431,382,7.96,6.88,2075514,1.1
MG,MG ZS EV,Car,50.0,44.26,88,419,140,42630,5,30360,2022,2025,2654378,423,422,7.78,6.39,1601224,1.0
Ola,Ola S1 Pro,Bike,4.0,3.13,78,180,95,48678,5,11014,2022,2025,140371,162,125,8.35,7.9,74853,0.9
Ather,Ather 450X,Bike,3.7,2.41,65,150,90,96119,1,3406,2018,2025,155834,151,104,8.36,7.1,41481,0.7
TVS,TVS iQube,Bike,3.4,2.39,70,145,82,75636,3,8474,2020,2025,129945,155,132,8.93,7.61,48204,0.8
MG,MG ZS EV,Car,50.0,48.01,96,419,140,33211,7,32774,2024,2025,2724673,429,413,8.22,8.16,2302283,1.0
Ola,Ola S1 Pro,Bike,4.0,3.87,96,180,95,21925,7,8606,2024,2025,157526,193,181,8.3,7.9,134117,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.84,94,120,70,29732,6,3701,2023,2025,129247,100,64,8.41,7.09,94750,1.2
MG,MG ZS EV,Car,50.0,39.52,79,419,140,67964,3,28460,2020,2025,2547874,414,368,7.86,6.59,1062767,0.9
Ola,Ola S1 Pro,Bike,4.0,3.04,76,180,95,68358,3,15726,2020,2025,139599,173,139,8.54,7.25,55989,0.9
TVS,TVS iQube,Bike,3.4,2.96,87,145,82,51314,5,6657,2022,2025,153910,145,140,8.95,8.18,91311,1.1
Tata,Tata Nexon EV,Car,40.0,26.75,66,312,120,115110,0,22325,2017,2025,1537527,313,305,8.05,6.97,369783,0.6
MG,MG ZS EV,Car,50.0,48.23,96,419,140,19489,7,32736,2024,2025,2701888,414,378,7.73,6.78,2293492,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.61,87,120,70,50853,4,7251,2021,2025,133514,100,99,8.61,7.47,69658,0.9
Tata,Tata Nexon EV,Car,40.0,36.97,92,312,120,33342,6,22332,2023,2025,1436543,328,289,8.92,8.35,1028190,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,34.37,88,305,155,54900,5,30312,2022,2025,2446623,323,285,8.58,8.57,1469366,0.9
MG,MG ZS EV,Car,50.0,44.23,88,419,140,52740,5,26115,2022,2025,2684553,435,408,7.79,7.76,1618329,1.0
TVS,TVS iQube,Bike,3.4,2.49,73,145,82,76491,3,3000,2020,2025,146393,130,113,8.33,8.01,56578,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,31.1,79,305,155,69166,3,26187,2020,2025,2114197,302,290,7.9,6.87,889722,0.8
Ola,Ola S1 Pro,Bike,4.0,3.64,91,180,95,43873,5,8928,2022,2025,137316,188,146,8.09,7.83,85155,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.95,98,120,70,52677,6,8563,2023,2025,124621,124,118,8.4,8.03,94898,1.0
TVS,TVS iQube,Bike,3.4,2.14,62,145,82,98879,1,9013,2018,2025,133267,153,148,8.02,7.16,34279,0.8
Ola,Ola S1 Pro,Bike,4.0,2.4,60,180,95,99613,0,3000,2017,2025,142598,169,123,8.98,8.77,30769,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,30.95,79,305,155,60658,3,27405,2020,2025,2427827,305,277,8.24,7.42,1016780,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.39,79,120,70,69724,2,11214,2019,2025,120324,101,68,7.72,7.02,44516,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.63,87,120,70,46585,5,10259,2022,2025,120632,121,97,7.82,7.12,72068,1.1
MG,MG ZS EV,Car,50.0,48.32,96,419,140,14712,7,33763,2024,2025,2629329,409,382,8.3,7.73,2236065,1.1
Ather,Ather 450X,Bike,3.7,2.9,78,150,90,47586,5,3000,2022,2025,149564,140,116,8.08,7.56,79886,1.1
Ola,Ola S1 Pro,Bike,4.0,2.79,69,180,95,92634,2,3000,2019,2025,138023,172,151,8.36,7.19,44708,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,33.95,87,305,155,39446,5,20011,2022,2025,2362249,306,262,7.9,6.5,1401357,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,35.5,91,305,155,33827,6,28936,2023,2025,2078697,315,267,8.96,8.02,1465278,1.1
TVS,TVS iQube,Bike,3.4,2.9,85,145,82,27906,7,20606,2024,2025,135706,130,104,8.04,7.72,101859,1.0
Ather,Ather 450X,Bike,3.7,3.66,98,150,90,43356,5,5716,2022,2025,146687,132,95,7.56,6.17,98882,1.0
MG,MG ZS EV,Car,50.0,33.8,67,419,140,98454,0,20515,2017,2025,2706434,407,370,7.63,6.53,657969,0.6
Mahindra,Mahindra XUV400,Car,39.4,30.36,77,375,150,91844,2,23484,2019,2025,1942191,357,337,7.99,7.92,695013,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,32.46,83,305,155,63162,4,26160,2021,2025,2351169,318,308,8.51,7.43,1173541,1.0
Ola,Ola S1 Pro,Bike,4.0,3.35,83,180,95,28648,6,3879,2023,2025,160958,180,176,7.61,6.55,104390,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.57,85,120,70,70873,2,6985,2019,2025,142544,108,78,8.02,6.58,56709,0.9
MG,MG ZS EV,Car,50.0,48.11,96,419,140,24554,7,24479,2024,2025,2486661,439,397,8.6,7.95,2105545,1.1
Mahindra,Mahindra XUV400,Car,39.4,26.34,66,375,150,114953,0,19377,2017,2025,1955782,373,352,8.9,8.72,470220,0.7
TVS,TVS iQube,Bike,3.4,2.59,76,145,82,96325,1,3000,2018,2025,150943,147,125,8.76,8.49,46990,0.8
Ather,Ather 450X,Bike,3.7,2.62,70,150,90,74665,3,3516,2020,2025,147595,169,138,9.0,7.78,55154,0.9
MG,MG ZS EV,Car,50.0,35.63,71,419,140,101687,1,29186,2018,2025,2634544,422,384,7.55,6.2,767237,0.8
Tata,Tata Nexon EV,Car,40.0,28.5,71,312,120,98328,1,27291,2018,2025,1460209,294,251,7.94,6.68,425185,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,27.73,71,305,155,98000,1,27666,2018,2025,2155388,294,266,8.42,7.38,626310,0.8
TVS,TVS iQube,Bike,3.4,2.15,63,145,82,111722,0,6226,2017,2025,146973,125,113,8.1,7.72,33424,0.7
TVS,TVS iQube,Bike,3.4,2.82,82,145,82,40154,5,7781,2022,2025,133177,158,140,8.86,7.46,75274,1.1
Mahindra,Mahindra XUV400,Car,39.4,36.65,93,375,150,39591,6,28557,2023,2025,1922202,380,344,7.98,7.89,1384656,1.0
TVS,TVS iQube,Bike,3.4,2.65,77,145,82,60110,5,5503,2022,2025,142913,160,143,8.68,7.67,75907,0.9
TVS,TVS iQube,Bike,3.4,2.71,79,145,82,98124,0,5275,2017,2025,137506,127,100,8.64,7.94,39416,0.7
Ather,Ather 450X,Bike,3.7,3.17,85,150,90,57041,4,3975,2021,2025,174572,153,152,7.99,6.68,89693,0.9
Bajaj,Bajaj Chetak,Bike,3.0,1.8,60,120,70,100725,0,7318,2017,2025,124817,129,80,8.44,8.24,26933,0.7
Tata,Tata Nexon EV,Car,40.0,26.7,66,312,120,107516,0,20808,2017,2025,1593367,316,311,8.13,8.01,382497,0.7
TVS,TVS iQube,Bike,3.4,2.86,84,145,82,39988,5,9849,2022,2025,146153,164,130,8.53,8.36,83780,0.9
Ather,Ather 450X,Bike,3.7,3.01,81,150,90,51301,5,3906,2022,2025,169765,154,107,8.72,8.55,94115,1.0
Ola,Ola S1 Pro,Bike,4.0,3.78,94,180,95,58795,4,10483,2021,2025,158759,196,151,7.84,7.4,89970,0.9
Tata,Tata Nexon EV,Car,40.0,28.79,71,312,120,96915,1,33812,2018,2025,1398606,294,261,8.32,7.69,411391,0.6
Mahindra,Mahindra XUV400,Car,39.4,36.7,93,375,150,26604,6,18216,2023,2025,1974364,390,345,8.54,7.19,1424171,1.2
Tata,Tata Nexon EV,Car,40.0,29.01,72,312,120,101059,1,27750,2018,2025,1451872,323,288,7.73,6.99,430323,0.6
MG,MG ZS EV,Car,50.0,44.1,88,419,140,44163,5,31436,2022,2025,2394661,408,405,7.8,7.0,1439330,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,35.9,92,305,155,31485,6,28559,2023,2025,2296948,319,285,7.5,6.96,1637368,1.1
Tata,Tata Nexon EV,Car,40.0,28.37,70,312,120,94743,1,22124,2018,2025,1468298,306,274,7.85,7.41,425590,0.7
Ather,Ather 450X,Bike,3.7,2.93,79,150,90,81032,2,13857,2019,2025,148345,167,148,8.27,7.01,54555,0.9
Mahindra,Mahindra XUV400,Car,39.4,33.56,85,375,150,57296,4,33541,2021,2025,1827852,395,383,7.68,6.68,933678,1.0
Tata,Tata Nexon EV,Car,40.0,37.14,92,312,120,37088,6,24732,2023,2025,1376424,306,300,8.5,7.83,989690,1.1
Tata,Tata Nexon EV,Car,40.0,26.75,66,312,120,100970,0,29382,2017,2025,1364071,305,274,7.55,7.49,328066,0.7
Ather,Ather 450X,Bike,3.7,3.42,92,150,90,73443,3,7608,2020,2025,147479,163,116,7.58,7.0,71939,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,32.93,84,305,155,60699,4,25392,2021,2025,2303396,294,282,8.62,7.25,1166343,1.0
TVS,TVS iQube,Bike,3.4,3.04,89,145,82,75623,2,11272,2019,2025,140307,155,154,8.3,7.53,58259,0.9
MG,MG ZS EV,Car,50.0,45.59,91,419,140,49000,6,34490,2023,2025,2484686,436,401,7.61,7.33,1754431,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,36.13,92,305,155,36738,6,24732,2023,2025,2073116,288,250,8.47,8.31,1487278,1.1
Tata,Tata Nexon EV,Car,40.0,28.48,71,312,120,96592,1,22893,2018,2025,1420162,315,295,7.65,7.58,413234,0.7
Ola,Ola S1 Pro,Bike,4.0,2.79,69,180,95,85967,2,9872,2019,2025,161901,199,185,7.95,7.66,52443,0.7
Ather,Ather 450X,Bike,3.7,3.37,91,150,90,51579,4,6355,2021,2025,158335,163,119,8.65,8.41,86484,0.9
Ola,Ola S1 Pro,Bike,4.0,3.06,76,180,95,90119,2,12502,2019,2025,146915,174,167,8.64,7.9,52194,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,37.21,95,305,155,15191,7,31479,2024,2025,2358517,312,263,7.92,7.39,1980235,1.1
Bajaj,Bajaj Chetak,Bike,3.0,1.88,62,120,70,106000,0,7866,2017,2025,129582,138,102,7.55,6.52,29204,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,29.46,75,305,155,82859,2,15431,2019,2025,2460015,289,268,8.57,7.26,862982,0.8
MG,MG ZS EV,Car,50.0,37.61,75,419,140,86947,2,17956,2019,2025,2400422,423,398,8.04,6.87,838526,0.8
Ola,Ola S1 Pro,Bike,4.0,3.41,85,180,95,89810,2,3000,2019,2025,153529,197,164,8.51,7.26,60782,0.9
Mahindra,Mahindra XUV400,Car,39.4,26.4,67,375,150,115421,0,27155,2017,2025,2168856,381,338,7.94,7.58,522636,0.7
Mahindra,Mahindra XUV400,Car,39.4,34.94,88,375,150,52258,5,22414,2022,2025,2199834,373,354,8.74,7.98,1329427,0.9
Bajaj,Bajaj Chetak,Bike,3.0,3.18,106,120,70,11337,7,3095,2024,2025,137961,126,125,8.88,7.63,128690,1.2
Mahindra,Mahindra XUV400,Car,39.4,37.6,95,375,150,26245,7,28283,2024,2025,1956198,368,346,7.52,6.28,1642809,1.1
Mahindra,Mahindra XUV400,Car,39.4,35.89,91,375,150,29975,6,32626,2023,2025,2197488,381,343,8.35,8.34,1550133,1.0
Ola,Ola S1 Pro,Bike,4.0,2.61,65,180,95,107866,0,3000,2017,2025,149879,167,126,8.71,8.65,35170,0.7
MG,MG ZS EV,Car,50.0,34.23,68,419,140,109884,0,22136,2017,2025,2256457,423,402,7.85,6.39,555552,0.7
Ola,Ola S1 Pro,Bike,4.0,3.72,93,180,95,65755,4,9124,2021,2025,141629,180,146,8.66,8.12,78988,0.9
Tata,Tata Nexon EV,Car,40.0,28.76,71,312,120,97053,1,24555,2018,2025,1641143,294,254,7.82,6.34,482229,0.7
Tata,Tata Nexon EV,Car,40.0,30.07,75,312,120,91862,2,21455,2019,2025,1441419,308,271,7.97,6.8,503222,0.7
Ather,Ather 450X,Bike,3.7,2.64,71,150,90,62354,4,8209,2021,2025,155552,144,108,7.61,6.28,66559,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.35,78,120,70,76765,2,7623,2019,2025,141050,107,66,8.4,7.94,51311,0.8
Mahindra,Mahindra XUV400,Car,39.4,36.39,92,375,150,29376,6,36202,2023,2025,2105013,358,321,8.06,7.92,1505587,1.0
Tata,Tata Nexon EV,Car,40.0,35.04,87,312,120,55111,5,17831,2022,2025,1572743,303,296,8.15,7.11,938879,0.9
Mahindra,Mahindra XUV400,Car,39.4,29.49,74,375,150,80845,2,29047,2019,2025,1934935,366,365,8.84,8.72,672575,0.8
Ola,Ola S1 Pro,Bike,4.0,3.36,84,180,95,32216,7,12359,2024,2025,146090,166,166,8.25,7.69,107989,1.1
MG,MG ZS EV,Car,50.0,47.77,95,419,140,37333,7,26667,2024,2025,2271544,418,390,8.21,7.41,1909805,1.2
Hyundai,Hyundai Kona Electric,Car,39.0,31.45,80,305,155,80972,3,20204,2020,2025,2095762,287,286,7.9,7.67,891890,0.9
Tata,Tata Nexon EV,Car,40.0,30.51,76,312,120,90093,2,24951,2019,2025,1413085,293,263,8.24,7.7,500548,0.8
Mahindra,Mahindra XUV400,Car,39.4,30.28,76,375,150,82973,2,32902,2019,2025,2093346,385,374,8.52,7.85,747130,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,26.66,68,305,155,114780,0,25159,2017,2025,2156523,290,269,8.8,8.09,530164,0.6
Mahindra,Mahindra XUV400,Car,39.4,31.48,79,375,150,89865,3,32294,2020,2025,1942431,372,361,7.66,6.68,819025,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,27.91,71,305,155,92907,1,13885,2018,2025,2127252,303,285,7.57,6.98,622146,0.7
MG,MG ZS EV,Car,50.0,41.53,83,419,140,61944,4,24044,2021,2025,2359064,431,400,7.73,6.75,1175066,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,27.9,71,305,155,91614,1,23521,2018,2025,2186896,320,271,7.88,6.78,639361,0.7
Ola,Ola S1 Pro,Bike,4.0,2.87,71,180,95,97071,1,14574,2018,2025,136143,189,187,8.01,7.24,39920,0.8
Mahindra,Mahindra XUV400,Car,39.4,37.82,95,375,150,17137,7,25648,2024,2025,1887076,376,371,7.55,7.08,1594033,1.2
Tata,Tata Nexon EV,Car,40.0,27.2,68,312,120,106587,0,21881,2017,2025,1515260,332,312,8.35,7.98,370559,0.7
TVS,TVS iQube,Bike,3.4,2.61,76,145,82,73969,3,16860,2020,2025,127122,128,85,8.27,7.9,51498,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.89,96,120,70,64313,4,8355,2021,2025,131393,125,112,8.69,7.26,75906,0.9
Bajaj,Bajaj Chetak,Bike,3.0,3.0,100,120,70,56928,4,8233,2021,2025,133533,139,114,8.13,7.94,80079,1.1
Ola,Ola S1 Pro,Bike,4.0,2.82,70,180,95,95977,0,7699,2017,2025,154259,182,167,8.84,8.27,39111,0.6
Mahindra,Mahindra XUV400,Car,39.4,28.3,71,375,150,94646,1,28386,2018,2025,1858867,372,369,7.54,6.81,545653,0.7
Mahindra,Mahindra XUV400,Car,39.4,36.2,91,375,150,42639,6,29726,2023,2025,1810045,386,345,9.0,8.21,1287855,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.89,96,120,70,47076,5,5412,2022,2025,122655,139,121,8.47,7.41,80521,1.1
Ather,Ather 450X,Bike,3.7,3.44,92,150,90,55608,4,4091,2021,2025,172076,168,155,8.75,7.42,95941,0.9
